@relation Data
@attribute ID {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25','26','27','28','29','30','31','32','33','34','35','36'}
@attribute Reason.for.absence {'0','1','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','21','22','23','24','25','26','27','28'}
@attribute Month.of.absence {'0','1','2','3','4','5','6','7','8','9','10','11','12'}
@attribute Day.of.the.week {'2','3','4','5','6'}
@attribute Seasons {'1','2','3','4'}
@attribute Transportation.expense numeric
@attribute Distance.from.Residence.to.Work numeric
@attribute Service.time numeric
@attribute Age numeric
@attribute Work.load.Average.day numeric
@attribute Hit.target numeric
@attribute Disciplinary.failure {'0','1'}
@attribute Education {'1','2','3','4'}
@attribute Son numeric
@attribute Social.drinker {'0','1'}
@attribute Social.smoker {'0','1'}
@attribute Pet numeric
@attribute Weight numeric
@attribute Height numeric
@attribute Body.mass.index numeric
@attribute Absenteeism.time.in.hours {'A','B'}
@data
'28','28','1','5','2',225,26,9,28,308.593,95,'0','1',1,'0','0',2,69,169,24,'A'
'28','27','1','6','2',225,26,9,28,308.593,95,'0','1',1,'0','0',2,69,169,24,'A'
'34','27','1','2','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'28','27','1','3','2',225,26,9,28,308.593,95,'0','1',1,'0','0',2,69,169,24,'A'
'34','27','1','3','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'34','27','1','4','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'34','27','1','5','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'34','27','1','6','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'34','27','1','2','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'34','27','1','3','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'22','18','1','3','2',179,26,9,30,308.593,95,'0','3',0,'0','0',0,56,171,19,'B'
'11','18','1','3','2',289,36,13,33,308.593,95,'0','1',2,'1','0',1,90,172,30,'B'
'34','27','1','4','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'27','23','1','5','2',184,42,7,27,308.593,95,'0','1',0,'0','0',0,58,167,21,'A'
'34','27','1','5','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'34','27','1','2','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'28','23','1','3','2',225,26,9,28,308.593,95,'0','1',1,'0','0',2,69,169,24,'A'
'11','22','1','5','2',289,36,13,33,308.593,95,'0','1',2,'1','0',1,90,172,30,'A'
'27','23','2','6','2',184,42,7,27,302.585,99,'0','1',0,'0','0',0,58,167,21,'A'
'24','1','2','4','2',246,25,16,41,302.585,99,'0','1',0,'1','0',0,67,170,23,'B'
'3','11','2','4','2',179,51,18,38,302.585,99,'0','1',0,'1','0',0,89,170,31,'B'
'14','28','2','5','2',155,12,14,34,302.585,99,'0','1',2,'1','0',0,95,196,25,'A'
'6','23','2','5','2',189,29,13,33,302.585,99,'0','1',2,'0','0',2,69,167,25,'B'
'20','28','2','6','2',260,50,11,36,302.585,99,'0','1',4,'1','0',0,65,168,23,'A'
'11','22','2','6','2',289,36,13,33,302.585,99,'0','1',2,'1','0',1,90,172,30,'B'
'31','11','2','2','2',388,15,9,50,302.585,99,'0','1',0,'0','0',0,76,178,24,'B'
'31','1','2','3','2',388,15,9,50,302.585,99,'0','1',0,'0','0',0,76,178,24,'B'
'28','28','2','2','2',225,26,9,28,302.585,99,'0','1',1,'0','0',2,69,169,24,'A'
'28','23','2','3','2',225,26,9,28,302.585,99,'0','1',1,'0','0',2,69,169,24,'A'
'22','23','2','3','2',179,26,9,30,302.585,99,'0','3',0,'0','0',0,56,171,19,'A'
'27','23','2','3','2',184,42,7,27,302.585,99,'0','1',0,'0','0',0,58,167,21,'B'
'28','25','2','5','2',225,26,9,28,302.585,99,'0','1',1,'0','0',2,69,169,24,'A'
'18','18','2','2','2',330,16,4,28,302.585,99,'0','2',0,'0','0',0,84,182,25,'B'
'18','23','2','3','2',330,16,4,28,302.585,99,'0','2',0,'0','0',0,84,182,25,'A'
'28','23','2','4','2',225,26,9,28,302.585,99,'0','1',1,'0','0',2,69,169,24,'A'
'6','19','2','5','2',189,29,13,33,302.585,99,'0','1',2,'0','0',2,69,167,25,'B'
'19','28','3','3','2',291,50,12,32,343.253,95,'0','1',0,'1','0',0,65,169,23,'A'
'20','19','3','3','2',260,50,11,36,343.253,95,'0','1',4,'1','0',0,65,168,23,'B'
'30','19','3','3','2',157,27,6,29,343.253,95,'0','1',0,'1','1',0,75,185,22,'A'
'17','17','3','3','2',179,22,17,40,343.253,95,'0','2',2,'0','1',0,63,170,22,'B'
'15','22','3','4','2',291,31,12,40,343.253,95,'0','1',1,'1','0',1,73,171,25,'B'
'20','13','3','4','2',260,50,11,36,343.253,95,'0','1',4,'1','0',0,65,168,23,'B'
'22','13','3','5','2',179,26,9,30,343.253,95,'0','3',0,'0','0',0,56,171,19,'B'
'33','14','3','6','2',248,25,14,47,343.253,95,'0','1',2,'0','0',1,86,165,32,'A'
'14','1','3','2','2',155,12,14,34,343.253,95,'0','1',2,'1','0',0,95,196,25,'B'
'20','26','3','2','2',260,50,11,36,343.253,95,'0','1',4,'1','0',0,65,168,23,'B'
'14','13','3','3','2',155,12,14,34,343.253,95,'0','1',2,'1','0',0,95,196,25,'B'
'11','6','3','5','2',289,36,13,33,343.253,95,'0','1',2,'1','0',1,90,172,30,'B'
'17','8','3','5','2',179,22,17,40,343.253,95,'0','2',2,'0','1',0,63,170,22,'B'
'20','28','3','6','2',260,50,11,36,343.253,95,'0','1',4,'1','0',0,65,168,23,'A'
'28','23','3','6','2',225,26,9,28,343.253,95,'0','1',1,'0','0',2,69,169,24,'A'
'7','14','3','2','2',279,5,14,39,343.253,95,'0','1',2,'1','1',0,68,168,24,'B'
'28','23','3','4','2',225,26,9,28,343.253,95,'0','1',1,'0','0',2,69,169,24,'A'
'28','11','3','2','3',225,26,9,28,343.253,95,'0','1',1,'0','0',2,69,169,24,'B'
'22','13','3','2','3',179,26,9,30,343.253,95,'0','3',0,'0','0',0,56,171,19,'A'
'28','11','3','3','3',225,26,9,28,343.253,95,'0','1',1,'0','0',2,69,169,24,'B'
'28','11','3','4','3',225,26,9,28,343.253,95,'0','1',1,'0','0',2,69,169,24,'B'
'3','13','3','4','3',179,51,18,38,343.253,95,'0','1',0,'1','0',0,89,170,31,'A'
'7','14','3','5','3',279,5,14,39,343.253,95,'0','1',2,'1','1',0,68,168,24,'B'
'28','28','3','6','3',225,26,9,28,343.253,95,'0','1',1,'0','0',2,69,169,24,'A'
'33','14','3','6','3',248,25,14,47,343.253,95,'0','1',2,'0','0',1,86,165,32,'A'
'28','28','3','2','3',225,26,9,28,343.253,95,'0','1',1,'0','0',2,69,169,24,'A'
'15','28','4','4','3',291,31,12,40,326.452,96,'0','1',1,'1','0',1,73,171,25,'A'
'28','23','4','4','3',225,26,9,28,326.452,96,'0','1',1,'0','0',2,69,169,24,'A'
'14','28','4','3','3',155,12,14,34,326.452,96,'0','1',2,'1','0',0,95,196,25,'A'
'14','23','4','5','3',155,12,14,34,326.452,96,'0','1',2,'1','0',0,95,196,25,'A'
'28','28','4','6','3',225,26,9,28,326.452,96,'0','1',1,'0','0',2,69,169,24,'A'
'20','28','4','6','3',260,50,11,36,326.452,96,'0','1',4,'1','0',0,65,168,23,'A'
'36','23','4','5','3',118,13,18,50,326.452,96,'0','1',1,'1','0',0,98,178,31,'A'
'15','23','4','6','3',291,31,12,40,326.452,96,'0','1',1,'1','0',1,73,171,25,'A'
'24','14','4','6','3',246,25,16,41,326.452,96,'0','1',0,'1','0',0,67,170,23,'B'
'15','28','4','6','3',291,31,12,40,326.452,96,'0','1',1,'1','0',1,73,171,25,'A'
'33','28','4','6','3',248,25,14,47,326.452,96,'0','1',2,'0','0',1,86,165,32,'B'
'11','19','4','3','3',289,36,13,33,326.452,96,'0','1',2,'1','0',1,90,172,30,'B'
'23','19','4','4','3',378,49,11,36,326.452,96,'0','1',2,'0','1',4,65,174,21,'B'
'11','13','4','5','3',289,36,13,33,326.452,96,'0','1',2,'1','0',1,90,172,30,'B'
'1','7','4','6','3',235,11,14,37,326.452,96,'0','3',1,'0','0',1,88,172,29,'A'
'2','0','4','2','3',235,29,12,48,326.452,96,'1','1',1,'0','1',5,88,163,33,'A'
'11','13','5','4','3',289,36,13,33,378.884,92,'0','1',2,'1','0',1,90,172,30,'B'
'14','28','5','5','3',155,12,14,34,378.884,92,'0','1',2,'1','0',0,95,196,25,'A'
'14','28','5','2','3',155,12,14,34,378.884,92,'0','1',2,'1','0',0,95,196,25,'A'
'3','18','5','3','3',179,51,18,38,378.884,92,'0','1',0,'1','0',0,89,170,31,'B'
'28','19','5','3','3',225,26,9,28,378.884,92,'0','1',1,'0','0',2,69,169,24,'B'
'27','7','5','4','3',184,42,7,27,378.884,92,'0','1',0,'0','0',0,58,167,21,'A'
'14','28','5','2','3',155,12,14,34,378.884,92,'0','1',2,'1','0',0,95,196,25,'A'
'3','12','5','3','3',179,51,18,38,378.884,92,'0','1',0,'1','0',0,89,170,31,'A'
'7','0','5','4','3',279,5,14,39,378.884,92,'1','1',2,'1','1',0,68,168,24,'A'
'18','0','5','4','3',330,16,4,28,378.884,92,'1','2',0,'0','0',0,84,182,25,'A'
'23','0','5','4','3',378,49,11,36,378.884,92,'1','1',2,'0','1',4,65,174,21,'A'
'31','0','5','4','3',388,15,9,50,378.884,92,'1','1',0,'0','0',0,76,178,24,'A'
'3','11','5','3','3',179,51,18,38,378.884,92,'0','1',0,'1','0',0,89,170,31,'A'
'10','22','5','6','3',361,52,3,28,378.884,92,'0','1',1,'1','0',4,80,172,27,'B'
'24','19','6','2','3',246,25,16,41,377.55,94,'0','1',0,'1','0',0,67,170,23,'B'
'10','22','6','2','3',361,52,3,28,377.55,94,'0','1',1,'1','0',4,80,172,27,'B'
'15','23','6','5','3',291,31,12,40,377.55,94,'0','1',1,'1','0',1,73,171,25,'A'
'24','10','6','6','3',246,25,16,41,377.55,94,'0','1',0,'1','0',0,67,170,23,'B'
'3','11','6','2','3',179,51,18,38,377.55,94,'0','1',0,'1','0',0,89,170,31,'B'
'14','23','6','2','3',155,12,14,34,377.55,94,'0','1',2,'1','0',0,95,196,25,'A'
'24','10','6','2','3',246,25,16,41,377.55,94,'0','1',0,'1','0',0,67,170,23,'B'
'36','13','6','4','3',118,13,18,50,377.55,94,'0','1',1,'1','0',0,98,178,31,'B'
'1','13','6','6','3',235,11,14,37,377.55,94,'0','3',1,'0','0',1,88,172,29,'B'
'36','23','6','3','3',118,13,18,50,377.55,94,'0','1',1,'1','0',0,98,178,31,'A'
'23','22','6','5','3',378,49,11,36,377.55,94,'0','1',2,'0','1',4,65,174,21,'B'
'3','11','6','6','3',179,51,18,38,377.55,94,'0','1',0,'1','0',0,89,170,31,'A'
'32','28','6','2','1',289,48,29,49,377.55,94,'0','1',0,'0','0',2,108,172,36,'A'
'28','28','6','5','1',225,26,9,28,377.55,94,'0','1',1,'0','0',2,69,169,24,'A'
'14','19','7','3','1',155,12,14,34,275.312,98,'0','1',2,'1','0',0,95,196,25,'B'
'36','1','7','4','1',118,13,18,50,275.312,98,'0','1',1,'1','0',0,98,178,31,'B'
'34','5','7','6','1',118,10,10,37,275.312,98,'0','1',0,'0','0',0,83,172,28,'B'
'34','26','7','6','1',118,10,10,37,275.312,98,'0','1',0,'0','0',0,83,172,28,'A'
'18','26','7','3','1',330,16,4,28,275.312,98,'0','2',0,'0','0',0,84,182,25,'B'
'22','18','7','5','1',179,26,9,30,275.312,98,'0','3',0,'0','0',0,56,171,19,'B'
'14','25','7','6','1',155,12,14,34,275.312,98,'0','1',2,'1','0',0,95,196,25,'A'
'18','1','7','2','1',330,16,4,28,275.312,98,'0','2',0,'0','0',0,84,182,25,'B'
'18','1','7','3','1',330,16,4,28,275.312,98,'0','2',0,'0','0',0,84,182,25,'B'
'30','25','7','2','1',157,27,6,29,275.312,98,'0','1',0,'1','1',0,75,185,22,'A'
'10','22','7','3','1',361,52,3,28,275.312,98,'0','1',1,'1','0',4,80,172,27,'B'
'11','26','7','4','1',289,36,13,33,275.312,98,'0','1',2,'1','0',1,90,172,30,'B'
'3','26','7','5','1',179,51,18,38,275.312,98,'0','1',0,'1','0',0,89,170,31,'B'
'11','19','7','5','1',289,36,13,33,275.312,98,'0','1',2,'1','0',1,90,172,30,'B'
'20','0','7','5','1',260,50,11,36,275.312,98,'1','1',4,'1','0',0,65,168,23,'A'
'11','19','8','6','1',289,36,13,33,265.615,94,'0','1',2,'1','0',1,90,172,30,'B'
'30','19','8','6','1',157,27,6,29,265.615,94,'0','1',0,'1','1',0,75,185,22,'A'
'11','23','8','2','1',289,36,13,33,265.615,94,'0','1',2,'1','0',1,90,172,30,'A'
'9','18','8','3','1',228,14,16,58,265.615,94,'0','1',2,'0','0',1,65,172,22,'B'
'26','13','8','5','1',300,26,13,43,265.615,94,'0','1',2,'1','1',1,77,175,25,'A'
'26','14','8','5','1',300,26,13,43,265.615,94,'0','1',2,'1','1',1,77,175,25,'A'
'20','28','8','6','1',260,50,11,36,265.615,94,'0','1',4,'1','0',0,65,168,23,'A'
'11','23','8','3','1',289,36,13,33,265.615,94,'0','1',2,'1','0',1,90,172,30,'A'
'33','23','8','4','1',248,25,14,47,265.615,94,'0','1',2,'0','0',1,86,165,32,'A'
'21','11','8','5','1',268,11,8,33,265.615,94,'0','2',0,'0','0',0,79,178,25,'B'
'22','23','8','5','1',179,26,9,30,265.615,94,'0','3',0,'0','0',0,56,171,19,'A'
'36','13','8','5','1',118,13,18,50,265.615,94,'0','1',1,'1','0',0,98,178,31,'A'
'33','25','8','2','1',248,25,14,47,265.615,94,'0','1',2,'0','0',1,86,165,32,'A'
'1','23','8','3','1',235,11,14,37,265.615,94,'0','3',1,'0','0',1,88,172,29,'A'
'36','23','8','5','1',118,13,18,50,265.615,94,'0','1',1,'1','0',0,98,178,31,'A'
'1','19','8','5','1',235,11,14,37,265.615,94,'0','3',1,'0','0',1,88,172,29,'B'
'10','8','8','3','1',361,52,3,28,265.615,94,'0','1',1,'1','0',4,80,172,27,'B'
'27','6','8','4','1',184,42,7,27,265.615,94,'0','1',0,'0','0',0,58,167,21,'B'
'3','11','9','2','1',179,51,18,38,294.217,81,'0','1',0,'1','0',0,89,170,31,'B'
'3','23','9','6','1',179,51,18,38,294.217,81,'0','1',0,'1','0',0,89,170,31,'A'
'5','0','9','5','1',235,20,13,43,294.217,81,'1','1',1,'1','0',0,106,167,38,'A'
'24','9','9','2','1',246,25,16,41,294.217,81,'0','1',0,'1','0',0,67,170,23,'B'
'15','28','9','3','1',291,31,12,40,294.217,81,'0','1',1,'1','0',1,73,171,25,'A'
'8','0','9','3','1',231,35,14,39,294.217,81,'1','1',2,'1','0',2,100,170,35,'A'
'19','0','9','3','1',291,50,12,32,294.217,81,'1','1',0,'1','0',0,65,169,23,'A'
'3','13','9','4','1',179,51,18,38,294.217,81,'0','1',0,'1','0',0,89,170,31,'B'
'3','23','9','5','1',179,51,18,38,294.217,81,'0','1',0,'1','0',0,89,170,31,'A'
'15','28','9','6','1',291,31,12,40,294.217,81,'0','1',1,'1','0',1,73,171,25,'A'
'20','28','9','6','1',260,50,11,36,294.217,81,'0','1',4,'1','0',0,65,168,23,'A'
'5','26','9','4','4',235,20,13,43,294.217,81,'0','1',1,'1','0',0,106,167,38,'B'
'36','28','9','5','4',118,13,18,50,294.217,81,'0','1',1,'1','0',0,98,178,31,'A'
'5','0','9','5','4',235,20,13,43,294.217,81,'1','1',1,'1','0',0,106,167,38,'A'
'15','28','9','6','4',291,31,12,40,294.217,81,'0','1',1,'1','0',1,73,171,25,'A'
